LM_ID,ABBREVIATION,SYNONYMS
LMGL03016546,TG 61:4,TG(61:4); TG(18:3_21:0_22:1)
LMGL03016547,TG 62:4,TG(62:4); TG(18:3_22:0_22:1)
LMGL03016548,TG 62:6,TG(62:6); TG(18:3_22:1_22:2)
LMGL03016549,TG 62:7,TG(62:7); TG(18:3_22:1_22:3)
LMGL03016550,TG 62:8,TG(62:8); TG(18:3_22:1_22:4)
LMGL03016551,TG 62:9,TG(62:9); TG(18:3_22:1_22:5)
LMGL03016552,TG 62:10,TG(62:10); TG(18:3_22:1_22:6)
LMGL03016553,TG 62:8,TG(62:8); TG(18:3_22:2_22:3)
LMGL03016554,TG 56:5,TG(56:5); TG(18:4_19:0_19:1)
LMGL03016555,TG 57:4,TG(57:4); TG(18:4_19:0_20:0)
LMGL03016556,TG 57:5,TG(57:5); TG(18:4_19:0_20:1)
LMGL03016557,TG 57:6,TG(57:6); TG(18:4_19:0_20:2)
LMGL03016558,TG 57:7,TG(57:7); TG(18:4_19:0_20:3)
LMGL03016559,TG 57:8,TG(57:8); TG(18:4_19:0_20:4)
LMGL03016560,TG 57:9,TG(57:9); TG(18:4_19:0_20:5)
LMGL03016561,TG 58:4,TG(58:4); TG(18:4_19:0_21:0)
LMGL03016562,TG 59:4,TG(59:4); TG(18:4_19:0_22:0)
LMGL03016563,TG 59:5,TG(59:5); TG(18:4_19:0_22:1)
LMGL03016564,TG 59:6,TG(59:6); TG(18:4_19:0_22:2)
LMGL03016565,TG 59:7,TG(59:7); TG(18:4_19:0_22:3)
LMGL03016566,TG 59:8,TG(59:8); TG(18:4_19:0_22:4)
LMGL03016567,TG 59:9,TG(59:9); TG(18:4_19:0_22:5)
LMGL03016568,TG 59:10,TG(59:10); TG(18:4_19:0_22:6)
LMGL03016569,TG 57:5,TG(57:5); TG(18:4_19:1_20:0)
LMGL03016570,TG 57:6,TG(57:6); TG(18:4_19:1_20:1)
LMGL03016571,TG 57:7,TG(57:7); TG(18:4_19:1_20:2)
LMGL03016572,TG 57:8,TG(57:8); TG(18:4_19:1_20:3)
LMGL03016573,TG 57:9,TG(57:9); TG(18:4_19:1_20:4)
LMGL03016574,TG 57:10,TG(57:10); TG(18:4_19:1_20:5)
LMGL03016575,TG 58:5,TG(58:5); TG(18:4_19:1_21:0)
LMGL03016576,TG 59:5,TG(59:5); TG(18:4_19:1_22:0)
LMGL03016577,TG 59:6,TG(59:6); TG(18:4_19:1_22:1)
LMGL03016578,TG 59:7,TG(59:7); TG(18:4_19:1_22:2)
LMGL03016579,TG 59:8,TG(59:8); TG(18:4_19:1_22:3)
LMGL03016580,TG 59:9,TG(59:9); TG(18:4_19:1_22:4)
LMGL03016581,TG 59:10,TG(59:10); TG(18:4_19:1_22:5)
LMGL03016582,TG 59:11,TG(59:11); TG(18:4_19:1_22:6)
LMGL03016583,TG 58:5,TG(58:5); TG(18:4_20:0_20:1)
LMGL03016584,TG 58:6,TG(58:6); TG(18:4_20:0_20:2)
LMGL03016585,TG 58:7,TG(58:7); TG(18:4_20:0_20:3)
LMGL03016586,TG 58:8,TG(58:8); TG(18:4_20:0_20:4)
LMGL03016587,TG 58:9,TG(58:9); TG(18:4_20:0_20:5)
LMGL03016588,TG 59:4,TG(59:4); TG(18:4_20:0_21:0)
LMGL03016589,TG 60:4,TG(60:4); TG(18:4_20:0_22:0)
LMGL03016590,TG 60:5,TG(60:5); TG(18:4_20:0_22:1)
LMGL03016591,TG 60:6,TG(60:6); TG(18:4_20:0_22:2)
LMGL03016592,TG 60:7,TG(60:7); TG(18:4_20:0_22:3)
LMGL03016593,TG 60:8,TG(60:8); TG(18:4_20:0_22:4)
LMGL03016594,TG 60:9,TG(60:9); TG(18:4_20:0_22:5)
LMGL03016595,TG 60:10,TG(60:10); TG(18:4_20:0_22:6)
LMGL03016596,TG 58:7,TG(58:7); TG(18:4_20:1_20:2)
LMGL03016597,TG 58:8,TG(58:8); TG(18:4_20:1_20:3)
LMGL03016598,TG 58:9,TG(58:9); TG(18:4_20:1_20:4)
LMGL03016599,TG 58:10,TG(58:10); TG(18:4_20:1_20:5)
LMGL03016600,TG 59:5,TG(59:5); TG(18:4_20:1_21:0)
LMGL03016601,TG 60:5,TG(60:5); TG(18:4_20:1_22:0)
LMGL03016602,TG 60:6,TG(60:6); TG(18:4_20:1_22:1)
LMGL03016603,TG 60:7,TG(60:7); TG(18:4_20:1_22:2)
LMGL03016604,TG 60:8,TG(60:8); TG(18:4_20:1_22:3)
LMGL03016605,TG 60:9,TG(60:9); TG(18:4_20:1_22:4)
LMGL03016606,TG 60:10,TG(60:10); TG(18:4_20:1_22:5)
LMGL03016607,TG 60:11,TG(60:11); TG(18:4_20:1_22:6)
LMGL03016608,TG 58:9,TG(58:9); TG(18:4_20:2_20:3)
LMGL03016609,TG 58:10,TG(58:10); TG(18:4_20:2_20:4)
LMGL03016610,TG 58:11,TG(58:11); TG(18:4_20:2_20:5)
